lon,lat,street,ped_count,borough
-73.90459140730678,40.87919896648574,Broadway,2098.5,Bronx
-73.92188432870218,40.82662794123292,East 161st Street,3069.1666666666665,Manhattan
-73.89535781584335,40.86215460031517,East Fordham Road,4139.333333333333,Bronx
-73.87892467324478,40.8812869959873,East Gun Hill Road,1540.0,Bronx
-73.88956389732787,40.844636776717664,East Tremont Avenue,1467.5,Bronx
-73.92087824799184,40.83015855511035,Gra Concourse,953.0,Manhattan
-73.91635737290386,40.81688745834867,Third Avenue,3219.8333333333335,Manhattan
-73.86767352599497,40.85558871971955,White Plains Road,2301.3333333333335,Bronx
-74.01119296689038,40.64426682358741,5th Avenue,2993.8333333333335,Brooklyn
-73.98067647018506,40.676093537146265,5th Avenue,1819.1666666666667,Brooklyn
-73.98134205800814,40.66717415129596,7th Avenue,3374.8333333333335,Brooklyn
-74.02728680504437,40.6221388292004,86th Street,3011.8333333333335,Brooklyn
-73.98983165443038,40.68884781602201,Atlantic Avenue,1591.3333333333333,Manhattan
-73.95802234844946,40.71755737770773,Bedford Avenue,6434.666666666667,Manhattan
-73.96276340616195,40.57732714149917,Brighton Beach Avenue,3399.5,Brooklyn
-73.94908133692475,40.650831467717424,Church Avenue,2582.5,Brooklyn
-73.96573732115321,40.64062739307868,Cortelyou Road,2094.0,Brooklyn
-73.99249336775775,40.68942537824676,Court Street,3564.3333333333335,Manhattan
-73.96818725047231,40.67292523719001,Eastern Parkway,2478.1666666666665,Brooklyn
-73.9214952312361,40.6089208214552,Flatbush Avenue,1022.1666666666666,Brooklyn
-73.95882184227794,40.650810536749546,Flatbush Avenue,2688.3333333333335,Brooklyn
-73.97390965382397,40.67918699313476,Flatbush Avenue,1736.5,Brooklyn
-73.98588670734839,40.69087186438648,Fulton Street,4362.333333333333,Manhattan
-73.94255463338305,40.703408264633794,Graham Avenue,2053.0,Manhattan
-73.9446668043415,40.71156922033028,Gra Street,989.0,Manhattan
-73.98727479290567,40.69272414021878,Jay Street,3394.8076923076924,Manhattan
-73.95959352755617,40.608201460936,Kings Highway,3359.5,Brooklyn
-73.99336426671383,40.69453486150852,Montague Street,2786.6666666666665,Manhattan
-73.96931991427776,40.693114646759874,Myrtle Avenue,1500.6666666666667,Manhattan
-73.9939968076081,40.70274648278773,Old Fulton Street,1866.5,Manhattan
-73.91307856842978,40.669334561930114,Pitkin Avenue,1390.3333333333333,Brooklyn
-73.95475091689498,40.58754340485192,Sheepshead Bay Road,1693.5,Brooklyn
-74.01511472616954,40.67546559688342,VanBrunt Street,438.5,Brooklyn
-73.98960330219742,40.70286152715002,Washington Street,3845.6666666666665,Manhattan
-74.01155687409947,40.70463665187375,Broad Street,3113.0,Manhattan
-74.01286204592034,40.70634164448271,Broadway,6387.833333333333,Manhattan
-73.98219706247882,40.7718134030119,Broadway,3496.6666666666665,Manhattan
-74.01009312926121,40.71590455900424,Chambers Street,4641.166666666667,Manhattan
-73.97713579908014,40.77968082763136,Columbus Avenue,3110.6666666666665,Manhattan
-73.98936305063111,40.71898935935359,Delancey Street,2935.3333333333335,Manhattan
-73.99265748471083,40.73559926423828,East 14th Street,4882.333333333333,Manhattan
-73.97665547944715,40.75169473512389,East 42 Street,7560.5,Manhattan
-73.99441204702927,40.73143601770708,East 8th Street,2484.0,Manhattan
-73.98861503057542,40.7588482835213,Eighth Avenue,12611.833333333334,Manhattan
-73.97514418621735,40.761353610911776,Fifth Avenue,9877.5,Manhattan
-73.99451531515767,40.71493552371378,Forsyth Street,2015.1666666666667,Manhattan
-74.0084036486757,40.71055376746076,Fulton Street,4192.333333333333,Manhattan
-74.00451806937401,40.70806272095774,Fulton Street,3697.6666666666665,Manhattan
-73.96888735867235,40.761264607952285,Lexington Avenue,4765.0,Manhattan
-73.96568512678532,40.77144062263456,Madison Avenue,2442.3333333333335,Manhattan
-73.99134284997088,40.749996387066574,Seventh Avenue,10444.333333333334,Manhattan
-74.01257537541983,40.708351612740366,Trinity Place,1777.0,Manhattan
-74.01098647762808,40.70733537559069,Wall Street,5569.5,Manhattan
-73.94703781905247,40.80842973710492,West 125th Street,4877.833333333333,Manhattan
-74.00384095197924,40.740305392828965,West 14th Street,4366.5,Manhattan
-73.93434784508338,40.84958094443508,West 181st Street,3064.8333333333335,Manhattan
-73.98934552114228,40.75045405486473,West 34th Street,11789.0,Manhattan
-73.98335689692979,40.752843606340384,West 40th Street,5662.333333333333,Manhattan
-73.98017962622333,40.757338486389926,West 47th Street,4932.0,Manhattan
-73.96829307507049,40.755190220332366,Seco Avenue,3080.3333333333335,Manhattan
-73.97053303866996,40.75613758564416,Third Avenue,4756.0,Manhattan
-73.97213382742112,40.756810835163854,Lexington Avenue,4920.666666666667,Manhattan
-73.97385284104773,40.75753624831215,Park Avenue,4978.833333333333,Manhattan
-73.97536263666144,40.75817343083521,Madison Avenue,5274.333333333333,Manhattan
-73.97697246269053,40.75885135958746,Fifth Avenue,9385.833333333334,Manhattan
-73.98019868261785,40.76021178450935,Sixth Avenue,8307.666666666666,Manhattan
-73.98303507483828,40.76140611887666,Seventh Avenue,6451.166666666667,Manhattan
-73.98383919698608,40.76174395517826,Broadway,5346.666666666667,Manhattan
-73.98589867014988,40.76257065006476,Eighth Avenue,7127.333333333333,Manhattan
-73.99694382805035,40.7673124325193,Hudson River Greenway,661.8333333333334,Manhattan
-73.79555468117455,40.70653426935826,165th Street,757.6666666666666,Queens
-73.89225364571111,40.74891155301485,37th Avenue,2646.8333333333335,Queens
-73.88412639509386,40.74873155074409,82 Street,4239.333333333333,Queens
-73.84534157919526,40.72036574481484,Austin Street,2725.6666666666665,Brooklyn
-73.77114917957029,40.76393342115404,Bell Boulevard,1174.1666666666667,Queens
-73.89530306861195,40.70287665998952,Fresh Po Road,563.6666666666666,Brooklyn
-73.79247827489311,40.71091966309366,Hillside Avenue,1657.5,Queens
-73.93947115150922,40.74817129070961,Jackson Avenue,2052.3333333333335,Manhattan
-73.80593752065842,40.70182238071845,Jamaica Avenue,1892.5,Queens
-73.79726496612192,40.70450555044364,Jamaica Avenue,3834.3333333333335,Queens
-73.85779008961042,40.6925963247586,Jamaica Avenue,1175.8333333333333,Brooklyn
-73.8309343552709,40.76118578331917,Main Street,5106.833333333333,Queens
-73.78539020907581,40.69769336243358,Merrick Boulevard,162.16666666666666,Queens
-73.75250126721374,40.604023385262565,Mott Avenue,1279.8333333333333,Queens
-73.91018834116497,40.69967093544051,Myrtle Avenue,2428.8333333333335,Manhattan
-73.90192709081789,40.70048761323586,Myrtle Avenue,1384.3333333333333,Brooklyn
-73.80439743099372,40.76247070217481,Northern Boulevard,518.5,Queens
-73.83274555228842,40.76053254069111,Prince Street,3128.0,Queens
-73.82971390855914,40.71371948716981,Queens Boulevard,1512.5,Queens
-73.8713031803217,40.73382228902959,Queens Boulevard,4800.0,Brooklyn
-73.9399858877832,40.75066362916971,Queens Plaza North & South,1746.6666666666667,Manhattan
-73.82818894237838,40.76005352048369,Roosevelt Avenue,7206.0,Queens
-73.91804029865675,40.76015497952589,Steinway Street,2358.1666666666665,Manhattan
-73.8086047835953,40.70340462655154,Sutphin Boulevard,1604.6666666666667,Queens
-73.84840699076847,40.72272482164015,Yellowstone Boulevard,617.5,Brooklyn
-74.10857607699721,40.63017169829432,Forest Avenue,226.5,Staten Island
-74.1108725293572,40.57107102644238,New Dorp Lane,617.0,Staten Island
-74.0752448014028,40.64298352630176,Pedestrian Walkway from Ferry Terminal,786.6666666666666,Staten Island
-74.16614928494091,40.58813530683326,Richmo Hill Road,104.33333333333333,Staten Island
-74.07740338696911,40.63793280712071,Victory Boulevard,439.0,Staten Island
-73.99669788343083,40.70597016498046,Brooklyn Bridge,3478.0,Manhattan
-73.99094199014799,40.70806538980731,Manhattan Bridge  North Path,157.0,Manhattan
-73.99114419929703,40.70794847867023,Manhattan Bridge  South Path,233.0,Manhattan
-73.97202493782653,40.71353372301599,Williamsburg Bridge,439.0,Manhattan
-73.95460085520162,40.7568698600874,Queensboro Bridge,140.16666666666666,Manhattan
-73.91119970135458,40.873547359000106,Broadway Bridge,636.8333333333334,Manhattan
-73.91488962537817,40.86276958338556,University Heights Bridge,311.5,Manhattan
-73.93380588837293,40.82809995999489,Macombs Dam Bridge,259.5,Manhattan
-73.93330492386069,40.819494945411535,145th Street Bridge,246.66666666666666,Manhattan
-73.9331330278822,40.81413106797776,Madison Avenue Bridge,297.6666666666667,Manhattan
-73.93252967704326,40.807554810103504,Third Avenue Bridge,153.0,Manhattan
-73.92896107917844,40.803769279822106,Willis Avenue Bridge,153.16666666666666,Manhattan
-73.92785197149036,40.80034506063934,Triborough Bridge (Manhattan span),33.46666666666667,Manhattan
-73.93686603590555,40.78611224350854,Wards Isla Bridge,273.3333333333333,Manhattan
